# Time Series: Kocaeli, Turkey 1999 - ATS-090
# Time (s),Acceleration (g's)
5.355,-0.0115866
5.36,-0.0109778
5.365,-0.009976
5.37,-0.00885817
5.375,-0.00774266
5.38,-0.00669428
5.385,-0.00569821
5.39,-0.00462122
5.395,-0.00340416
5.4,-0.00223922
5.405,-0.00142862
5.41,-0.00117518
5.415,-0.00139087
5.42,-0.0018435
5.425,-0.00232571
5.43,-0.00274785
5.435,-0.00296267
5.44,-0.00280484
5.445,-0.00226205
5.45,-0.00137874
5.455,-2.85102E-4
5.46,8.99541E-4
5.465,0.00208424
5.47,0.00325559
5.475,0.00443319
5.48,0.00544115
5.485,0.00615674
5.49,0.00667099
5.495,0.00703002
5.5,0.00725826
5.505,0.00737489
5.51,0.00722086
5.515,0.00656488
5.52,0.00538407
5.525,0.00397068
5.53,0.00267179
5.535,0.001528
5.54,4.74127E-4
5.545,-4.11965E-4
5.55,-8.83422E-4
5.555,-8.57266E-4
5.56,-6.83385E-4
5.565,-7.86336E-4
5.57,-0.00120272
5.575,-0.00172565
5.58,-0.00216753
5.585,-0.00254702
5.59,-0.00296064
5.595,-0.00344301
5.6,-0.00397753
5.605,-0.00450422
5.61,-0.00486944
5.615,-0.00488473
5.62,-0.0044892
5.625,-0.00367739
5.63,-0.00249051
5.635,-0.00109082
5.64,3.16535E-4
5.645,0.00172155
5.65,0.00329151
5.655,0.00512215
5.66,0.00721515
5.665,0.00946442
5.67,0.0115779
5.675,0.0132658
5.68,0.014399
5.685,0.0149344
5.69,0.0149532
5.695,0.0147542
5.7,0.014712
5.705,0.0148385
5.71,0.01469
5.715,0.0138008
5.72,0.0122091
5.725,0.0103846
5.73,0.00882277
5.735,0.00767154
5.74,0.00664787
5.745,0.0054658
5.75,0.00418825
5.755,0.00307126
5.76,0.00215134
5.765,0.00135608
5.77,7.5077E-4
5.775,5.21188E-4
5.78,6.49003E-4
5.785,7.52532E-4
5.79,4.15775E-4
5.795,-2.94735E-4
5.8,-9.09063E-4
5.805,-0.0011201
5.81,-9.58676E-4
5.815,-6.33742E-4
5.82,-2.91722E-4
5.825,7.73654E-5
5.83,4.37717E-4
5.835,5.86093E-4
5.84,3.75394E-4
5.845,1.0901E-4
5.85,1.76492E-4
5.855,4.31515E-4
5.86,4.76817E-4
5.865,2.82068E-4
5.87,3.11057E-4
5.875,9.35687E-4
5.88,0.00173632
5.885,0.00187785
5.89,9.96835E-4
5.895,-5.80162E-4
5.9,-0.00222435
5.905,-0.00345758
5.91,-0.00415879
5.915,-0.00445683
5.92,-0.00449545
5.925,-0.00427473
5.93,-0.00384832
5.935,-0.00363537
5.94,-0.00395892
5.945,-0.00449518
5.95,-0.00469453
5.955,-0.00462112
5.96,-0.00486077
5.965,-0.00564554
5.97,-0.00647766
5.975,-0.00673655
5.98,-0.00635975
5.985,-0.00584981
5.99,-0.00571604
5.995,-0.00598538
6.0,-0.00624377
6.005,-0.00597551
6.01,-0.00496537
6.015,-0.00337075
6.02,-0.00132804
6.025,0.00116293
6.03,0.00394199
6.035,0.00647974
6.04,0.00822394
6.045,0.00898344
6.05,0.00914078
6.055,0.00956585
6.06,0.0108252
6.065,0.012725
6.07,0.0146536
6.075,0.0162697
6.08,0.0176817
6.085,0.0189407
6.09,0.0197434
6.095,0.0196794
6.1,0.0185167
6.105,0.0166094
6.11,0.0147279
6.115,0.0134427
6.12,0.0129464
6.125,0.0130458
6.13,0.0132799
6.135,0.0132962
6.14,0.0130169
6.145,0.0124454
6.15,0.0116376
6.155,0.0109525
6.16,0.0107916
6.165,0.0112345
6.17,0.0120116
6.175,0.0129131
6.18,0.0138573
6.185,0.0146054
6.19,0.0150674
6.195,0.0154181
6.2,0.0157596
6.205,0.0159154
6.21,0.0155952
6.215,0.0146064
6.22,0.013127
6.225,0.0116315
6.23,0.0104678
6.235,0.00951649
6.24,0.00832594
6.245,0.00660986
6.25,0.00448723
6.255,0.0023577
6.26,5.5301E-4
6.265,-8.65708E-4
6.27,-0.00189065
6.275,-0.00249683
6.28,-0.00289733
6.285,-0.00366872
